2026-03-12 10:41:54 | INFO     | loader.behaviour | Loading behaviour vibration files from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\2 [behaviour analysis]\Bridge vibration monitoring dataset
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test1.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test2.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test3.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test4.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test5.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test6.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test7.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour |   Parsing test8.txt …
2026-03-12 10:41:54 | INFO     | loader.behaviour | [behaviour [raw]] shape=(66344, 7) | NaN=0 | numeric_cols=6 | dtypes: {dtype('float32'): 5, dtype('float64'): 1, dtype('O'): 1}
2026-03-12 10:42:51 | INFO     | loader.behaviour | Loading behaviour vibration files from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\2 [behaviour analysis]\Bridge vibration monitoring dataset
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test1.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test2.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test3.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test4.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test5.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test6.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test7.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour |   Parsing test8.txt …
2026-03-12 10:42:51 | INFO     | loader.behaviour | [behaviour [raw]] shape=(66344, 7) | NaN=0 | numeric_cols=6 | dtypes: {dtype('float32'): 5, dtype('float64'): 1, dtype('O'): 1}
2026-03-12 10:43:39 | INFO     | loader.behaviour | Loading behaviour vibration files from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\2 [behaviour analysis]\Bridge vibration monitoring dataset
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test1.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test2.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test3.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test4.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test5.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test6.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test7.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour |   Parsing test8.txt …
2026-03-12 10:43:39 | INFO     | loader.behaviour | [behaviour [raw]] shape=(66344, 7) | NaN=0 | numeric_cols=6 | dtypes: {dtype('float32'): 5, dtype('float64'): 1, dtype('O'): 1}
